Nome;cluster;pc1;pc2
Alicorn Quiver;1;0.0051414035;-0.07899922
Blue Quiver;5;0.24865393;0.08446376
Candy-Coated Quiver;4;0.33577174;-0.24810396
Eldritch Quiver;5;0.031242412;0.08303996
Jungle Quiver;3;-0.17742357;-0.03273702
Naga Quiver;5;0.24395277;0.14891356
Quiver;5;0.102877796;0.17654216
Red Quiver;5;0.19090772;0.1509105
Amethyst Necklace;0;0.14200461;0.011945979
Amulet of Loss;5;-0.06183478;0.04709362
Amulet of Theurgy;3;-0.34999648;-0.029349988
Ancient Amulet;3;-0.19288957;-5.8586793e-05
Beetle Necklace;5;-0.030380858;-0.14375624
Bonfire Amulet;2;-0.05451723;0.02220109
Broken Amulet;0;-0.039799556;0.07469172
Bronze Amulet;3;-0.29906833;-0.026995081
Bronze Necklace;0;0.15250131;0.11799303
Candy Necklace;4;0.17232433;-0.1593593
Collar of Blue Plasma;3;-0.2691826;0.048433732
Collar of Green Plasma;3;-0.41920346;-0.09979341
Collar of Orange Plasma;3;-0.36114544;-0.17349504
Collar of Red Plasma;2;-0.40840727;0.18240473
Crystal Necklace;3;-0.13791868;-0.2538732
Demonbone Amulet;3;-0.36163557;0.0053286226
Diamond Necklace;0;0.1590042;0.056568682
Dragon Necklace;3;-0.32756686;-0.10093903
Elven Amulet;2;-0.33989552;0.064233296
Emerald Necklace;0;0.12852946;0.0031860995
Enchanted Merudri Brooch;2;-0.37289706;0.04123731
Enchanted Pendulet;2;-0.2348535;0.1446262
Enchanted Sleep Shawl;3;-0.2971491;-0.09420884
Enchanted Theurgic Amulet;2;-0.4245907;-0.049017046
Enchanted Turtle Amulet;2;-0.3340151;0.1466493
Enchanted Werewolf Amulet;1;-0.13369122;-0.12795351
Exotic Amulet;2;-0.12510303;0.008434871
Ferumbras' Amulet;3;-0.20487638;0.051953506
Foxtail Amulet;2;-0.06445194;0.09012522
Garlic Necklace;3;-0.18156223;-0.13557522
Garnet Necklace;0;0.11599475;0.021587355
Gearwheel Chain;5;0.022208447;0.12872516
Gill Necklace;5;0.11557428;-0.0029239184
Glacier Amulet;3;-0.15942422;-0.29432338
Glooth Amulet;3;-0.36550117;-0.09608482
Golden Amulet;0;-0.12757264;0.065734215
Golden Hyaena Pendant;0;-0.023212919;0.004344985
Golden Scorpion Pendant;0;0.03232662;-0.009149514
Greater Garlic Necklace;5;0.01832202;0.0008198519
Harmony Amulet;2;-0.31457755;0.12054261
Jerom's Family Necklace;0;0.19436933;-0.05011937
Koshei's Ancient Amulet;2;-0.19409914;0.15599391
Leviathan's Amulet;3;-0.2110249;-0.24724004
Lightning Pendant;2;-0.1604647;-0.08366036
Lion Amulet;2;-0.1495373;0.028058479
Magma Amulet;3;-0.34351972;-0.15039833
Merudri Brooch;2;-0.08732459;0.18022998
Necklace of the Deep;3;-0.20743562;-0.051898986
Onyx Pendant;5;0.011138445;0.033173878
Ornamented Brooch;5;0.11462277;-0.09181295
Paw Amulet;0;-0.10789887;0.017903881
Pendulet;5;0.36340708;0.24116482
Platinum Amulet;3;-0.38877308;-0.1826185
Prismatic Necklace;1;0.16086385;0.017218051
Protection Amulet;3;-0.4117058;-0.05314862
Rainbow Necklace;1;0.1284056;-0.054860704
Rhodolith Necklace;0;0.10963957;-0.027434226
Ruby Necklace;3;-0.24069057;-0.20835629
Sacred Tree Amulet;3;-0.4003787;-0.17523088
Sapphire Amulet;0;-0.014315803;0.018623298
Sapphire Necklace;0;0.19456212;0.040802516
Scarab Amulet;3;-0.22863516;-0.109211095
Scarf;3;-0.30839428;0.07128577
Shockwave Amulet;1;-0.035418514;0.07809909
Shrunken Head Necklace;5;0.12682657;0.07523663
Silver Amulet;3;-0.3262366;-0.20398349
Silver Necklace;0;0.19653232;0.10215161
Sleep Shawl;5;0.2579247;-0.027376875
Star Amulet;0;-0.11071502;0.09871687
Stone Skin Amulet;3;-0.34013206;-0.09495796
Strange Talisman;3;-0.13727076;-0.3149745
Terra Amulet;3;-0.280644;-0.26310834
The Cobra Amulet;0;-0.09992592;0.04199885
The Eye of Suon;5;0.11735083;0.047260746
The Lion's Heart;5;-0.07577783;0.075522274
Traditional Neckerchief;5;0.2022115;0.13571951
Turtle Amulet;3;-0.1641913;0.004951433
Wailing Widow's Necklace;1;0.21191666;-0.009405865
Werewolf Amulet;3;-0.27449957;-0.0003992363
Wolf Tooth Chain;3;-0.16317075;-0.059263755
Wolf Tooth Chain (Quest);5;-0.0476756;-0.026688386
Alicorn Ring;2;-0.023868386;0.012626267
Arboreal Ring;2;-0.18834955;-0.11937927
Arcanomancer Sigil;2;-0.2599354;-0.010160176
Axe Ring;2;-0.40223306;0.22350368
Blister Ring;5;0.03875005;0.17873952
Broken Ring of Ending;5;0.22378254;0.15033595
Broken Wedding Ring;0;0.21485458;0.13722025
Butterfly Ring;3;-0.16314429;-0.13507468
Charged Alicorn Ring;2;-0.18436149;0.14641328
Charged Arboreal Ring;2;-0.22553009;-0.04919277
Charged Arcanomancer Sigil;2;-0.30446878;0.0847718
Charged Ethereal Ring;2;-0.24909806;0.18130429
Charged Spiritthorn Ring;2;-0.24008547;0.36706555
Claw of 'The Noxious Spawn';3;-0.1825819;-0.057039447
Club Ring;3;-0.32979804;-0.09208796
Crystal Ring;3;-0.18758681;-0.15488769
Death Ring;3;-0.3225503;0.013819433
Dwarven Ring;3;-0.35669154;-0.14936134
Enchanted Blister Ring;1;-0.028603068;0.023796905
Enchanted Ring of Souls;2;-0.18725525;-0.06084341
Energy Ring;3;-0.38355854;-0.17166454
Engraved Wedding Ring;0;0.2836414;0.08893291
Ethereal Ring;2;-0.10890809;0.052787777
Family Signet Ring;0;0.29825783;0.10469529
Frozen Claw;5;0.19813396;-0.010796903
Gold Ring;3;-0.3421399;-0.06697433
Horn (Ring);0;0.11449219;0.26852182
Life Ring;3;-0.44783407;-0.08674951
Lion Ring;0;0.030997382;0.18545622
Might Ring;2;-0.22143675;-0.0868776
Power Ring;3;-0.37099728;0.111141495
Prismatic Ring;1;0.15026093;0.115050614
Rerun's Ring;5;0.22237563;0.16323519
Ring of Blue Plasma;3;-0.19383137;-0.06673273
Ring of Ending;1;0.34406024;0.1279584
Ring of Green Plasma;3;-0.31484488;-0.054714266
Ring of Healing;3;-0.37131125;-0.102058046
Ring of Orange Plasma;3;-0.34416837;-0.06858001
Ring of Red Plasma;2;-0.3745559;0.26198202
Ring of Secret Thoughts;2;-0.15835753;0.16348003
Ring of Secret Thoughts (Charged);5;0.017304983;0.19072567
Ring of Souls;3;-0.18107218;-0.22022748
Ring of Temptation;5;0.19133633;-0.020504674
Ring of the Sky;3;-0.44894874;-0.039600037
Ring of Wishes;0;0.19417518;0.04927351
Shapeshifter Ring;5;0.0054513523;-0.13895372
Signet Ring;0;0.29928836;0.22168943
Spiritthorn Ring;2;-0.09069781;0.13126393
Star Ring;0;0.023722125;0.28522453
Stealth Ring;3;-0.38382298;-0.09013154
Suspicious Signet Ring;0;0.20635758;0.15420064
Sweetheart Ring;5;0.031025285;0.072624885
Sword Ring;2;-0.35572734;0.19911565
Time Ring;3;-0.3286371;-0.13302748
Unstable Ring of Ending;5;0.19573627;0.20627677
Vampire's Signet Ring;0;-0.08299196;0.04779973
Wedding Ring;0;-0.10232988;0.21859384
Quagmire Rod;3;-0.28843477;-0.19806682
Tempest Rod;3;-0.41704607;-0.043766066
Volcanic Rod;3;-0.34525424;-0.09131464
Wand of Plague;3;-0.39045548;-0.17038651
Albino Plate;4;0.12903625;-0.12179641
Amazon Armor;2;-0.08751716;0.20195009
Arcane Dragon Robe;2;-0.28343162;-0.107253805
Ball Gown;4;0.18343833;0.06178148
Bear Skin;2;-0.2443814;-0.07965938
Belted Cape;3;-0.23035876;0.042406682
Blue Robe;3;-0.30879572;0.037975855
Brass Armor;3;-0.33355865;0.10175519
Broken Iks Cuirass;5;0.111624874;0.28562325
Buckle;5;-0.029040407;0.16207989
Burial Shroud;5;-0.04084218;0.044810813
Calopteryx Cape;3;-0.4390741;-0.044853825
Cape;3;-0.31972662;-0.3257822
Chain Armor;3;-0.38975072;0.03728457
Coat;3;-0.05119266;-0.18962318
Crown Armor;3;-0.49782425;-0.016514743
Crystalline Armor;2;-0.2853101;-0.05388635
Dark Armor;3;-0.37178922;0.04456969
