index,termo
0,00
1,00 10
2,00 11
3,00 12
4,00 120
5,00 13
6,00 14
7,00 15
8,00 16
9,00 17
10,00 18
11,00 180
12,00 21
13,00 22
14,00 24
15,00 240
16,00 300
17,00 32
18,00 34
19,00 36
20,00 360
21,00 37
22,00 39
23,00 40
24,00 42
25,00 44
26,00 47
27,00 48
28,00 49
29,00 50
30,00 51
31,00 52
32,00 53
33,00 600
34,00 720
35,00 96
36,00 ab
37,00 abyssador
38,00 acolyte
39,00 adept
40,00 adult
41,00 ahau
42,00 albino
43,00 alptramun
44,00 amazon
45,00 amenef
46,00 ancient
47,00 angry
48,00 animated
49,00 annihilon
50,00 anomaly
51,00 aparecer
52,00 arachnophobica
53,00 arbaziloth
54,00 arctic
55,00 armadile
56,00 arthei
57,00 ashmunrah
58,00 assassin
59,00 axe
60,00 bakragore
61,00 baleful
62,00 bandit
63,00 bane
64,00 banshee
65,00 barbaria
66,00 barbarian
67,00 bashmu
68,00 behemoth
69,00 betrayed
70,00 bibby
71,00 big
72,00 black
73,00 blightwalker
74,00 blood
75,00 bloodback
76,00 blue
77,00 boar
78,00 bonebeast
79,00 bonelord
80,00 boogey
81,00 boogy
82,00 bragrumol
83,00 brain
84,00 brilhar
85,00 brittle
86,00 broken
87,00 brokul
88,00 bruise
89,00 bullwark
90,00 burning
91,00 burster
92,00 carregar
93,00 chakoya
94,00 cinder
95,00 club
96,00 cobra
97,00 coletar
98,00 control
99,00 corym
100,00 count
101,00 crawler
102,00 crazed
103,00 cyclop
104,00 dark
105,00 dawnfire
106,00 deathling
107,00 deepling
108,00 demon
109,00 desconhecer
110,00 desembrulhar
111,00 diabolic
112,00 dirtbeard
113,00 distance
114,00 doctor
115,00 domar
116,00 draconia
117,00 dragon
118,00 draken
119,00 drefia
120,00 dryadr
121,00 dwarf
122,00 dworc
123,00 ekatrix
124,00 elder
125,00 energy
126,00 escrever
127,00 essence
128,00 ethershreck
129,00 execowtioner
130,00 exploder
131,00 faceless
132,00 falcon
133,00 ferumbra
134,00 feverish
135,00 fibula
136,00 fist
137,00 flameborn
138,00 fornecer
139,00 frost
140,00 gaffir
141,00 ghulosh
142,00 glooth
143,00 goblin
144,00 goldhanded
145,00 grand
146,00 green
147,00 hellgorak
148,00 high
149,00 hive
150,00 horadron
151,00 hunter
152,00 ice
153,00 item
154,00 izcandar
155,00 jakundaf
156,00 jaul
157,00 katex
158,00 kazordoon
159,00 king
160,00 lady
161,00 leviathan
162,00 lizard
163,00 lloyd
164,00 lokathmor
165,00 lord
166,00 lost
167,00 mad
168,00 madareth
