termo,tfidf_sum
00,184.56328137379793
50,91.41773365411466
the,83.73480682384744
of,73.34014170828704
10,62.51830256722659
20,55.13082003642496
15,52.45088742438476
use,41.08805122576126
80,36.24657387093959
fighting,36.108278861023926
10 00,34.4849122072276
key,32.846905028433916
reager,32.38319865109299
25,32.3229638812143
magic,32.151905221535365
balloon,31.857664476057554
18,31.47861932297656
balloon 15,30.886632685090756
knights,30.677063578408628
reager use,29.23440926988492
30,29.116252705923387
pendurar,28.350287311188204
level,28.184446186413492
magic level,28.184446186413492
doll,27.9386995212323
parede,27.43751091026756
pendurar parede,26.94631518977691
ice,26.50888240605936
12,26.132887183367927
usar,25.11066101168225
luz,24.837382300723103
18 00,24.020507229298904
dragon,23.84784103641517
energy,23.182744584944142
fornecer,22.672193114360738
druids,22.640595716082128
quantidade luz,22.255453470566536
fornecer pequeno,22.255453470566536
quantidade,22.255453470566536
pequeno quantidade,22.255453470566536
pequeno,22.255453470566536
golden,22.019685574706262
earth,21.978878141343706
trophy,21.859488875630504
physical,21.613695205725488
90,21.412131306945
sorcerer,21.069309859865882
criatura,20.75456894772416
60,20.616248805036285
40,20.609491304173133
se,20.328342885034903
13,19.834059821930737
00 reager,19.790011426143028
of the,19.55423057215859
poder se,19.171675707770852
poder,19.171675707770852
70,18.902742352046282
fire,18.82879223739763
réplicar,18.527391062457465
axe,18.407916246750343
and,18.30970912477934
se use,17.67130174179813
demon,17.515557282976157
15 00,17.469656337127393
silver,17.157062295873722
shield,17.103369986774283
25 00,17.07412360714947
backpack,16.992908805086277
death,16.808210715307332
rune,16.692968866743154
blue,16.61476547940728
paladim,16.589682163742488
orc,16.542884576727655
00 pendurar,16.47427053544413
sword,16.395378910426462
knight,16.359568940406508
35,15.882653099939079
crystal,15.629452694773752
específico,15.34158083349907
criatura específico,15.34158083349907
cup,15.02243753154278
16,14.742607007745296
11,14.731998697615897
19,14.674056509411601
green,14.525066159034669
ancient,14.170337096399694
chave,14.11793343460449
24,14.055407803625307
red,13.978284443829535
bag,13.914082235841482
fist,13.85725791394715
13 00,13.752286515957499
sorcerer and,13.742021202065093
ferumbra,13.741410054423119
box,13.5975084852439
fist fighting,13.552388917514412
and druids,13.503760025467376
glooth,13.488614050451535
00 the,13.479347934895353
pirate,13.2709989833771
helmet,13.266470840100878
scroll,13.163539382477014
32,13.10792296237826
300,12.919798070430854
elemental,12.81114057893922
carpet,12.672887149425057
backpack 20,12.595654648489777
brilhar,12.566520129461805
45,12.50913417530791
domar criatura,12.366136149978983
domar,12.366136149978983
cult,12.358218119950303
monk,12.279545270587981
21,12.251394892757467
brilhar escuro,12.23233270635465
escuro,12.23233270635465
14,12.217614376526392
minotaur,12.216400032411316
cake,12.211900146071667
200,12.165440062501391
120,12.12210152944804
escrever,12.100152425639543
fireworks,12.030945316008578
flower,11.931037612263296
club,11.912938037339822
17,11.820407567149978
22,11.767971227745184
folded,11.765399222672517
lion,11.728125669516968
ring,11.713907859034647
20 18,11.708822661583936
00 fornecer,11.655660710281717
shell,11.62795790289399
dark,11.517954306227825
75,11.500701106975535
20 brilhar,11.492758751537597
book,11.492281425797563
iks,11.41585342587431
embler,11.339325618962707
parchment,11.303299741877469
black,11.274861794802096
lost,11.229619362618385
20 00,11.101934621847835
old,11.037624802575941
warrior,10.936488363206134
amulet,10.920250379910051
100,10.858113850117848
38,10.773857360810661
28,10.733440426531738
trophy 00,10.640115840925407
31,10.604224616779613
goshnar,10.561610120771775
yellow,10.525210441822972
00 escrever,10.35355121083506
ogre,10.256002190330632
35 00,10.21670677149011
180,10.098410270306424
rune embler,10.093388236277349
150,10.05411227922755
27,9.980359921910269
nightmare,9.964700306791919
12 00,9.930845535057339
monks,9.930609934851356
spawn,9.732790337227943
hat,9.660046660272437
goler,9.620241278854365
mortal,9.612889826152474
draken,9.599867284348782
intricate,9.54651926531256
legs,9.472871490275413
soul,9.47052094071542
powerful,9.420475121710819
19 00,9.402822880436656
broken,9.389822483523329
mortal shell,9.389008724825741
ferumbra mortal,9.389008724825741
blood,9.383788196919754
lord,9.357031208150755
65,9.283678713155462
crazed,9.27820002262446
sword fighting,9.276623257211362
club fighting,9.251778159967257
axe fighting,9.210218827072723
boots,9.14839078512068
stone,9.119275872009117
250,9.116601385263188
token,9.109273182683133
bag 00,9.071849470372547
55,9.038487749655381
11 00,9.01256945294961
exploder usar,9.011706177438963
exploder,9.011706177438963
00 exploder,9.011706177438963
26,8.981916919969276
small,8.836059745489303
troll,8.813354509223208
00 poder,8.771209597929074
deepling,8.72512700634254
scroll 50,8.680724289325388
vampire,8.676672293202033
imbuement,8.616834469070541
carpet 00,8.611913355751568
38 00,8.582532719745574
equipamento,8.574370747494015
bronze,8.563355855938394
