tabela_origem,url_origem,Nome,Unnamed: 3,Lvl,Voc,Volume,Bônus de Skill,Proteção,Peso,Dropa de,Arm,Cargas,Duração (min),Atributos,Bônus,Tipo de Dano,Dano Médio,Mana por Ataque,Slots,Tier,Localização,Agrupável,Notas,Mãos,Atq,Dano Elemental,Def,Mod. de Defesa,Peso (em oz),Regeneração (em segs),Agrup.,Alcance,Hit%,Elemental Bond,Spell Words,Prem,Lvl p/ fazer,Lvl p/ usar,Magic Level p/ usar,Mana p/ fazer,Soul Points,Efeito,texto_unificado,texto_normalizado,tokens,tokens_sem_stopwords,lemmas,stems
tabela_1,https://www.tibiawiki.com.br/wiki/Aljavas,Alicorn Quiver,,400,Paladins,12,Magic Level +1,Nenhuma.,20.00,Magma Bubble.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alicorn Quiver 400 Paladins 12 Magic Level +1 Nenhuma. 20.00 Magma Bubble.,alicorn quiver 400 paladins 12 magic level +1 nenhuma 20 00 magma bubble,alicorn quiver 400 paladins 12 magic level +1 nenhuma 20 00 magma bubble,alicorn quiver 400 paladins 12 magic level +1 20 00 magma bubble,alicorn quiver 400 paladim 12 magic level +1 20 00 magma bubble,alicorn quiv 400 paladins 12 magic level +1 20 00 magm bubbl
tabela_1,https://www.tibiawiki.com.br/wiki/Aljavas,Blue Quiver,,0,Paladins,6,Nenhum.,Nenhuma.,17.00,Ninguém.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Quiver 0 Paladins 6 Nenhum. Nenhuma. 17.00 Ninguém.,blue quiver 0 paladins 6 nenhum nenhuma 17 00 ninguém,blue quiver 0 paladins 6 nenhum nenhuma 17 00 ninguém,blue quiver 0 paladins 6 17 00,blue quiver 0 paladim 6 17 00,blu quiv 0 paladins 6 17 00
tabela_1,https://www.tibiawiki.com.br/wiki/Aljavas,Candy-Coated Quiver,,200,Paladins,8,Nenhum.,Fire +2%,18.00,Sugar Daddy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Candy-Coated Quiver 200 Paladins 8 Nenhum. Fire +2% 18.00 Sugar Daddy.,candy-coated quiver 200 paladins 8 nenhum fire +2% 18 00 sugar daddy,candy-coated quiver 200 paladins 8 nenhum fire +2 % 18 00 sugar daddy,candy-coated quiver 200 paladins 8 fire +2 % 18 00 sugar daddy,candy-coated quiver 200 paladim 8 firar +2 % 18 00 sugar daddy,candy-coated quiv 200 paladins 8 fir +2 % 18 00 sug daddy
tabela_1,https://www.tibiawiki.com.br/wiki/Aljavas,Eldritch Quiver,,250,Paladins,8,Nenhum.,Nenhuma.,22.00,The Brainstealer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eldritch Quiver 250 Paladins 8 Nenhum. Nenhuma. 22.00 The Brainstealer.,eldritch quiver 250 paladins 8 nenhum nenhuma 22 00 the brainstealer,eldritch quiver 250 paladins 8 nenhum nenhuma 22 00 the brainstealer,eldritch quiver 250 paladins 8 22 00 the brainstealer,eldritch quiver 250 paladim 8 22 00 the brainstealer,eldritch quiv 250 paladins 8 22 00 the brainsteal
tabela_1,https://www.tibiawiki.com.br/wiki/Aljavas,Jungle Quiver,,150,Paladins,8,Nenhum.,Nenhuma.,18.00,Ratmiral Blackwhiskers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jungle Quiver 150 Paladins 8 Nenhum. Nenhuma. 18.00 Ratmiral Blackwhiskers.,jungle quiver 150 paladins 8 nenhum nenhuma 18 00 ratmiral blackwhiskers,jungle quiver 150 paladins 8 nenhum nenhuma 18 00 ratmiral blackwhiskers,jungle quiver 150 paladins 8 18 00 ratmiral blackwhiskers,jungle quiver 150 paladim 8 18 00 ratmiral blackwhiskers,jungl quiv 150 paladins 8 18 00 ratmiral blackwhiskers
tabela_1,https://www.tibiawiki.com.br/wiki/Aljavas,Naga Quiver,,250,Paladins,8,Nenhum.,Ice +2%,19.00,Timira the Many-Headed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naga Quiver 250 Paladins 8 Nenhum. Ice +2% 19.00 Timira the Many-Headed.,naga quiver 250 paladins 8 nenhum ice +2% 19 00 timira the many-headed,naga quiver 250 paladins 8 nenhum ice +2 % 19 00 timira the many-headed,naga quiver 250 paladins 8 ice +2 % 19 00 timira the many-headed,nagar quiver 250 paladim 8 ice +2 % 19 00 timira the many-headed,nag quiv 250 paladins 8 ice +2 % 19 00 tim the many-headed
tabela_1,https://www.tibiawiki.com.br/wiki/Aljavas,Quiver,,0,Paladins,6,Nenhum.,Nenhuma.,17.00,Ninguém.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiver 0 Paladins 6 Nenhum. Nenhuma. 17.00 Ninguém.,quiver 0 paladins 6 nenhum nenhuma 17 00 ninguém,quiver 0 paladins 6 nenhum nenhuma 17 00 ninguém,quiver 0 paladins 6 17 00,quiver 0 paladim 6 17 00,quiv 0 paladins 6 17 00
tabela_1,https://www.tibiawiki.com.br/wiki/Aljavas,Red Quiver,,0,Paladins,6,Nenhum.,Nenhuma.,17.00,Ninguém.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Quiver 0 Paladins 6 Nenhum. Nenhuma. 17.00 Ninguém.,red quiver 0 paladins 6 nenhum nenhuma 17 00 ninguém,red quiver 0 paladins 6 nenhum nenhuma 17 00 ninguém,red quiver 0 paladins 6 17 00,red quiver 0 paladim 6 17 00,red quiv 0 paladins 6 17 00
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Amethyst Necklace,,0,Todas,,,Nenhuma.,4.30,Ninguém.,0,-,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amethyst Necklace 0 Todas Nenhuma. 4.30 Ninguém. 0 - - Nenhum. Nenhum.,amethyst necklace 0 todas nenhuma 4 30 ninguém 0 - - nenhum nenhum,amethyst necklace 0 todas nenhuma 4 30 ninguém 0 - - nenhum nenhum,amethyst necklace 0 4 30 0 - -,amethyst necklace 0 4 30 0 - -,amethyst necklac 0 4 30 0 - -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Amulet of Loss,,0,Todas,,,Nenhuma.,4.20,"Blightwalker, Sulphider, Zugurosh.",0,-,-,100% contra a perda de itens,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amulet of Loss 0 Todas Nenhuma. 4.20 Blightwalker, Sulphider, Zugurosh. 0 - - 100% contra a perda de itens Nenhum.",amulet of loss 0 todas nenhuma 4 20 blightwalker sulphider zugurosh 0 - - 100% contra a perda de itens nenhum,amulet of loss 0 todas nenhuma 4 20 blightwalker sulphider zugurosh 0 - - 100 % contra a perda de itens nenhum,amulet of loss 0 4 20 blightwalker sulphider zugurosh 0 - - 100 % perda itens,amulet of loss 0 4 20 blightwalker sulphider zugurosh 0 - - 100 % perda item,amulet of loss 0 4 20 blightwalk sulphid zugurosh 0 - - 100 % perd itens
